"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.308497000E-3,1.846885681E-2,-5.442976952E-2,4.209146500E-1
1.430849700E-2,7.073211670E-2,-1.404561996E-1,8.183708191E-1
1.930849700E-2,1.444759369E-1,-2.492175102E-1,1.136497498E0
2.430849700E-2,2.246809006E-1,-3.229639530E-1,1.298089027E0
2.930849700E-2,3.058805466E-1,-3.486206532E-1,1.226012230E0
3.430849700E-2,3.159008026E-1,-3.347930908E-1,9.425334930E-1
3.930849700E-2,2.290792465E-1,-2.486147881E-1,5.112953186E-1
4.430849700E-2,9.688329697E-2,-9.271860123E-2,3.402423859E-2
4.930849700E-2,-3.431892395E-2,1.314051151E-1,-4.822111130E-1
5.430849700E-2,-1.769552231E-1,3.750667572E-1,-8.649501801E-1
5.930849700E-2,-2.833738327E-1,6.271066666E-1,-1.085469246E0
6.430849700E-2,-3.137049675E-1,8.404510021E-1,-1.246934891E0
6.930849700E-2,-3.149113655E-1,9.888653755E-1,-1.412901878E0
7.430849700E-2,-2.939648628E-1,1.008010864E0,-1.636901855E0
7.930849700E-2,-2.552409172E-1,9.680871964E-1,-1.876100540E0
8.430849700E-2,-2.469429970E-1,9.130883217E-1,-2.102350235E0
8.930849700E-2,-3.087201118E-1,8.019614220E-1,-2.184620857E0
9.430849700E-2,-4.016847610E-1,6.224026680E-1,-2.186519623E0
9.930849700E-2,-5.016689301E-1,3.871662617E-1,-2.038762093E0
1.043084970E-1,-5.746121407E-1,7.628297806E-2,-1.767388344E0
1.093084970E-1,-6.091065407E-1,-3.359079361E-1,-1.377365112E0
1.143084970E-1,-6.151523590E-1,-7.695972919E-1,-8.726596832E-1
1.193084970E-1,-5.820422173E-1,-1.240574360E0,-4.516534805E-1
1.243084970E-1,-5.474801064E-1,-1.694935560E0,-1.570978165E-1
1.293084970E-1,-5.073304176E-1,-2.039302826E0,1.853942871E-2
1.343084970E-1,-4.250030518E-1,-2.229930878E0,6.011009216E-2
1.393084970E-1,-3.214726448E-1,-2.287405968E0,-3.128337860E-2
1.443084970E-1,-1.710352898E-1,-2.232645750E0,-2.082166672E-1
1.493084970E-1,1.159715652E-2,-2.080390453E0,-4.437627792E-1
1.543084970E-1,2.208123207E-1,-1.838365793E0,-6.738986969E-1
1.593084970E-1,4.030370712E-1,-1.542709351E0,-9.309921265E-1
1.643084970E-1,5.528345108E-1,-1.240755916E0,-1.176412582E0
1.693084970E-1,6.262950897E-1,-9.524619579E-1,-1.402187347E0
1.743084970E-1,6.810293198E-1,-6.851189137E-1,-1.697019577E0
1.793084970E-1,6.813945770E-1,-4.523038864E-1,-1.965297699E0
1.843084970E-1,6.610622406E-1,-2.834246159E-1,-2.224203110E0
1.893084970E-1,6.629323959E-1,-1.025881767E-1,-2.426313400E0
1.943084970E-1,7.166056633E-1,4.241156578E-2,-2.556840897E0
1.993084970E-1,7.793478966E-1,1.364245415E-1,-2.656670094E0
2.043084970E-1,8.651280403E-1,1.520376205E-1,-2.713565350E0
2.093084970E-1,9.533677101E-1,1.001670361E-1,-2.723763943E0
2.143084970E-1,1.053705692E0,3.017020226E-2,-2.745040894E0
2.193084970E-1,1.146768570E0,-5.343866348E-2,-2.726866722E0
2.243084970E-1,1.232317924E0,-1.046166420E-1,-2.636971474E0
2.293084970E-1,1.312974930E0,-1.589686871E-1,-2.516751289E0
2.343084970E-1,1.382000685E0,-2.125945091E-1,-2.351802826E0
2.393084970E-1,1.452793121E0,-2.419614792E-1,-2.122324944E0
2.443084970E-1,1.500584841E0,-2.050790787E-1,-1.860840797E0
2.493084970E-1,1.510278702E0,-1.687848568E-1,-1.574913979E0
2.543084970E-1,1.496383905E0,-1.104578972E-1,-1.281282425E0
2.593084970E-1,1.459793091E0,-8.649659157E-2,-9.639835358E-1
2.643084970E-1,1.436668634E0,-1.224925518E-1,-6.872911453E-1
2.693084970E-1,1.436055660E0,-2.041778564E-1,-4.496431351E-1
2.743084970E-1,1.507883310E0,-3.252911568E-1,-3.036470413E-1
2.793084970E-1,1.584849596E0,-4.723815918E-1,-3.138513565E-1
2.843084970E-1,1.651804447E0,-6.276648045E-1,-4.198417664E-1
2.893084970E-1,1.677185297E0,-7.265877724E-1,-6.774339676E-1
2.943084970E-1,1.709768772E0,-7.753834724E-1,-9.526901245E-1
2.993084970E-1,1.723080158E0,-8.512744904E-1,-1.242968559E0
3.043084970E-1,1.722735643E0,-8.715422153E-1,-1.511600494E0
3.093084970E-1,1.695625782E0,-8.492481709E-1,-1.795315266E0
3.143084970E-1,1.669295311E0,-7.690041065E-1,-2.091945171E0
3.193084970E-1,1.653289318E0,-6.424150467E-1,-2.402835846E0
3.243084970E-1,1.667163372E0,-5.498278141E-1,-2.791611671E0
3.293084970E-1,1.627420187E0,-4.196705818E-1,-3.004323483E0
3.343084970E-1,1.627531767E0,-3.095643520E-1,-3.238229275E0
3.393084970E-1,1.657299757E0,-2.293834686E-1,-3.478622913E0
3.443084970E-1,1.693571806E0,-1.841776371E-1,-3.665529251E0
3.493084970E-1,1.706090689E0,-1.744387150E-1,-3.757506847E0
3.543084970E-1,1.680216789E0,-1.480278969E-1,-3.781622887E0
3.593084970E-1,1.652391195E0,-9.772014618E-2,-3.743376255E0
3.643084970E-1,1.611562967E0,-5.465626717E-2,-3.644862175E0
3.693084970E-1,1.530033350E0,2.409934998E-3,-3.471095562E0
3.743084970E-1,1.379603148E0,-2.583265305E-3,-3.204883575E0
3.793084970E-1,1.270590782E0,-5.073642731E-2,-2.925938129E0
3.843084970E-1,1.180809259E0,-1.233053207E-1,-2.697387218E0
3.893084970E-1,1.136057854E0,-2.293093204E-1,-2.535942078E0
3.943084970E-1,1.146518946E0,-3.298575878E-1,-2.494648933E0
3.993084970E-1,1.146550655E0,-4.030907154E-1,-2.507198334E0
4.043084970E-1,1.098386526E0,-4.415283203E-1,-2.541253090E0
4.093084970E-1,1.016020060E0,-4.739086628E-1,-2.537859917E0
4.143084970E-1,9.114658833E-1,-4.709422588E-1,-2.552666187E0
4.193084970E-1,8.416764736E-1,-4.427747726E-1,-2.565133572E0
4.243084970E-1,7.639131546E-1,-3.700182438E-1,-2.532567024E0
4.293084970E-1,6.734578609E-1,-2.481915951E-1,-2.444804192E0
4.343084970E-1,6.170151234E-1,-7.728576660E-2,-2.352777958E0
4.393084970E-1,5.836071968E-1,9.929537773E-2,-2.241451263E0
4.443084970E-1,5.687634945E-1,2.480537891E-1,-2.107532978E0
4.493084970E-1,4.967713356E-1,3.451917171E-1,-1.925587177E0
4.543084970E-1,3.527877331E-1,3.553013802E-1,-1.767926693E0
4.593084970E-1,1.557857990E-1,2.876443863E-1,-1.644605160E0
4.643084970E-1,-1.194593906E-1,1.757862568E-1,-1.561212063E0
4.693084970E-1,-4.082145691E-1,4.434299469E-2,-1.577701092E0
4.743084970E-1,-7.315914631E-1,-1.219906807E-1,-1.581359863E0
4.793084970E-1,-1.045345783E0,-3.164994717E-1,-1.492599964E0
4.843084970E-1,-1.255089045E0,-4.913048744E-1,-1.342647076E0
4.893084970E-1,-1.362738371E0,-5.988199711E-1,-1.177134991E0
4.943084970E-1,-1.369557619E0,-6.537903547E-1,-9.399695396E-1
4.993084970E-1,-1.296668768E0,-6.421080828E-1,-6.157264709E-1
5.043084970E-1,-1.180710077E0,-5.352475643E-1,-3.173294067E-1
5.093084970E-1,-1.021060228E0,-2.975716591E-1,-1.104354858E-2
5.143084970E-1,-8.626444340E-1,-1.389288902E-2,2.709302902E-1
5.193084970E-1,-7.109620571E-1,3.204808235E-1,5.137872696E-1
5.243084970E-1,-5.367343426E-1,6.306512356E-1,6.365594864E-1
5.293084970E-1,-3.714520931E-1,8.967494965E-1,7.022447586E-1
5.343084970E-1,-2.435123920E-1,1.105550051E0,7.817096710E-1
5.393084970E-1,-1.471760273E-1,1.256996393E0,8.519554138E-1
5.443084970E-1,-1.415767670E-1,1.322662592E0,9.944057465E-1
5.493084970E-1,-1.928052902E-1,1.251001596E0,1.155768394E0
5.543084970E-1,-2.431352139E-1,1.113756418E0,1.381003380E0
5.593084970E-1,-2.627263069E-1,8.795876503E-1,1.562161446E0
