"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.489213600E-2,6.079887560E1,2.573603440E1,7.934900485E1,NaN,NaN,7.567000122E2,1.496743927E2
7.873832810E-1,6.079821168E1,2.573530848E1,8.448052776E1,9.499999881E-1,1.620000000E2,3.790092468E0,4.294901371E0
1.641460000E0,6.079818934E1,2.573525886E1,7.893702124E1,1.139999986E0,1.586999969E2,3.990617037E0,2.500000000E0
2.641642447E0,6.079818769E1,2.573525778E1,7.901569669E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
3.640942655E0,6.079817009E1,2.573527037E1,7.915894185E1,1.149999976E0,1.681000061E2,3.790092468E0,2.500000000E0
4.640883592E0,6.079816230E1,2.573518318E1,6.986533820E1,1.460000038E0,1.681999969E2,3.883602381E0,2.821047306E0
5.641085623E0,6.079814327E1,2.573521052E1,7.122949960E1,1.480000019E0,1.703000031E2,3.790092468E0,2.500000000E0
6.640848592E0,6.079813368E1,2.573522746E1,7.338256427E1,1.429999948E0,1.700000000E2,3.790092468E0,2.500000000E0
7.641225779E0,6.079812042E1,2.573524150E1,7.511619695E1,1.450000048E0,1.663999939E2,3.790092468E0,2.500000000E0
8.641032341E0,6.079810774E1,2.573525533E1,7.612332668E1,1.429999948E0,1.655000000E2,3.790092468E0,2.500000000E0
9.641492966E0,6.079809425E1,2.573526566E1,7.671516825E1,1.480000019E0,1.671000061E2,3.790092468E0,2.500000000E0
1.064106422E1,6.079808031E1,2.573527653E1,7.710352047E1,1.470000029E0,1.681999969E2,3.790092468E0,2.500000000E0
1.164128781E1,6.079806691E1,2.573528583E1,7.737657335E1,1.440000057E0,1.681000061E2,3.790092468E0,2.500000000E0
1.264129984E1,6.079805391E1,2.573529311E1,7.740773941E1,1.470000029E0,1.688999939E2,3.790092468E0,2.500000000E0
1.364163765E1,6.079804113E1,2.573529911E1,7.715472300E1,1.399999976E0,1.708000031E2,3.790092468E0,2.500000000E0
1.464151062E1,6.079802871E1,2.573530500E1,7.726620765E1,1.399999976E0,1.713000031E2,3.790092468E0,2.500000000E0
1.564100447E1,6.079801631E1,2.573531062E1,7.710620739E1,1.409999967E0,1.708000031E2,3.790092468E0,2.500000000E0
1.664164046E1,6.079800361E1,2.573531746E1,7.682163720E1,1.450000048E0,1.685000000E2,3.790092468E0,2.500000000E0
1.764165406E1,6.079799046E1,2.573532601E1,7.672286205E1,1.480000019E0,1.675000000E2,3.790092468E0,2.500000000E0
1.864151104E1,6.079797734E1,2.573533529E1,7.668774786E1,1.440000057E0,1.681999969E2,3.790092468E0,2.500000000E0
1.964104859E1,6.079796451E1,2.573534698E1,7.696269617E1,1.470000029E0,1.630000000E2,3.790092468E0,2.500000000E0
2.064182093E1,6.079795180E1,2.573535695E1,7.727987740E1,1.450000048E0,1.668000031E2,3.790092468E0,2.500000000E0
2.164160838E1,6.079793775E1,2.573536579E1,7.717689307E1,1.490000010E0,1.676999969E2,3.790092468E0,2.500000000E0
2.264129234E1,6.079792393E1,2.573537274E1,7.713756447E1,1.490000010E0,1.693000031E2,3.790092468E0,2.500000000E0
2.364165405E1,6.079791074E1,2.573537897E1,7.708169281E1,1.509999990E0,1.686000061E2,3.790092468E0,2.500000000E0
2.464144806E1,6.079789740E1,2.573538500E1,7.708240066E1,1.490000010E0,1.678999939E2,3.790092468E0,2.500000000E0
2.564181291E1,6.079788440E1,2.573538977E1,7.702762458E1,1.490000010E0,1.708999939E2,3.790092468E0,2.500000000E0
2.664175968E1,6.079787115E1,2.573539417E1,7.720533119E1,1.490000010E0,1.713000031E2,3.790092468E0,2.500000000E0
2.764164806E1,6.079785795E1,2.573540027E1,7.705308480E1,1.460000038E0,1.695000000E2,3.790092468E0,2.500000000E0
2.864103280E1,6.079784529E1,2.573540644E1,7.714735851E1,1.440000057E0,1.666000061E2,3.790092468E0,2.500000000E0
2.964164947E1,6.079783240E1,2.573541417E1,7.713274883E1,1.429999948E0,1.648999939E2,3.790092468E0,2.500000000E0
3.064174593E1,6.079781991E1,2.573542144E1,7.701218051E1,1.370000005E0,1.651999969E2,3.790092468E0,2.500000000E0
3.164113311E1,6.079780771E1,2.573542932E1,7.715400290E1,1.360000014E0,1.646000061E2,3.790092468E0,2.500000000E0
3.264120843E1,6.079779593E1,2.573543560E1,7.720817506E1,1.330000043E0,1.693000031E2,3.790092468E0,2.500000000E0
3.364165244E1,6.079778380E1,2.573544235E1,7.724629649E1,1.399999976E0,1.638999939E2,3.790092468E0,2.500000000E0
3.464162624E1,6.079777121E1,2.573545088E1,7.735693187E1,1.450000048E0,1.640000000E2,3.790092468E0,2.500000000E0
3.564107978E1,6.079775860E1,2.573545894E1,7.746848194E1,1.440000057E0,1.640000000E2,3.790092468E0,2.500000000E0
3.664090040E1,6.079774610E1,2.573546576E1,7.753175069E1,1.460000038E0,1.661000061E2,3.790092468E0,2.500000000E0
3.764124827E1,6.079773349E1,2.573547030E1,7.769956866E1,1.450000048E0,1.688999939E2,3.790092468E0,2.500000000E0
3.864123858E1,6.079772081E1,2.573547373E1,7.773707464E1,1.470000029E0,1.693000031E2,3.790092468E0,2.500000000E0
3.964088743E1,6.079770791E1,2.573547673E1,7.764872575E1,1.470000029E0,1.683000031E2,3.790092468E0,2.500000000E0
4.064163014E1,6.079769520E1,2.573548150E1,7.765223769E1,1.450000048E0,1.698999939E2,3.790092468E0,2.500000000E0
4.164113530E1,6.079768312E1,2.573548608E1,7.766172953E1,1.409999967E0,1.691999969E2,3.790092468E0,2.500000000E0
4.264093764E1,6.079767093E1,2.573549222E1,7.766811168E1,1.460000038E0,1.650000000E2,3.790092468E0,2.500000000E0
4.364120139E1,6.079765848E1,2.573549889E1,7.748803289E1,1.480000019E0,1.643999939E2,3.790092468E0,2.500000000E0
4.464162493E1,6.079764589E1,2.573550498E1,7.733285564E1,1.450000048E0,1.661000061E2,3.790092468E0,2.500000000E0
4.564133030E1,6.079763346E1,2.573551076E1,7.725000418E1,1.480000019E0,1.670000000E2,3.790092468E0,2.500000000E0
4.664144217E1,6.079762088E1,2.573551786E1,7.727030485E1,1.470000029E0,1.673999939E2,3.790092468E0,2.500000000E0
